Species	Chemical Name	Freq-MHz(rest frame,redshifted)	Freq Err(rest frame,redshifted)	Meas Freq-MHz(rest frame,redshifted)	Meas Freq Err(rest frame,redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	E_U (cm^-1)	E_U (K)	Linelist
c-H2C3O	Cyclopropenone	1286.59290	0.0003			40(9,31)-40(9,32)	-8.24070		456.77140	657.19643	456.81432	657.25818	CDMS
H2CCCHCN	Cyanoallene	1286.60230	0.0023			3(1,2)-3(1,3)	-8.80500		1.79250	2.57899	1.83542	2.64074	CDMS
c-HCOOD	Formic Acid	1286.81420	0.0029			22(4,18)-22(4,19)	-8.38180		212.74110	306.08523	212.78402	306.14698	JPL
c-HCOOH	Formic Acid	1286.88500	0.0039			21(4,17)-21(4,18)	-8.32080		209.92270	302.03020	209.96563	302.09196	CDMS
H2CCCHCN	Cyanoallene	1286.94190	0.0182			3(1,2)-3(1,3),F=3-3	-9.35750		1.79250	2.57899	1.83543	2.64076	CDMS
CH3CH2CNv=0	Ethyl Cyanide	1286.95250	0.0003			15(3,12)-15(3,13)	-8.39450		42.83770	61.63398	42.88063	61.69574	JPL
c-DCOOH	Formic Acid	1287.11060	0.014			13(2,12)-12(3,9)	-8.01770		71.87990	103.41855	71.92283	103.48032	JPL
H2SO4	Sulfuric acid	1287.51450	0.0434			29(15,15)-29(14,15)	-8.21520		145.69390	209.61982	145.73685	209.68161	JPL
CH2CHNC	Vinyl Isocyanide	1288.01580	0.0091			29(4,25)-29(4,26)	-8.57200		173.79610	250.05238	173.83906	250.11420	JPL
NO,v=1	Nitric oxide	1288.67470	0.0212			J=45/2-45/2,&Omega;=1/2,F=45/2+-45/2-	-16.31220		2815.49120	4050.89017	2815.53419	4050.95201	CDMS
i-C3H7CN	iso-propyl cyanide	1288.70720	0.0006			35(13,22)-35(13,23)	-8.20430		172.79380	248.61335	172.83679	248.67520	CDMS
c-C4H4O	Furan	1288.86780	0.0013			30(28,2)-30(28,3)	-8.93500		288.58790	415.21632	288.63089	415.27817	CDMS
H13CNv2=1	Hydrogen Cyanide	1288.93820	0.0002			J=2,l=1e-1f	-7.77820		714.60310	1028.16115	714.64609	1028.22301	CDMS
NH2CH2CH2OHv25+v27	Aminoethanol	1288.97020	13.8297			24(12,13)-23(13,10)	-11.21050		555.46230	799.18175	555.50530	799.24361	JPL
NH2CH2CH2OHv25+v27	Aminoethanol	1288.97020	13.8297			24(12,13)-23(13,11)	-11.89370		555.46230	799.18175	555.50530	799.24361	JPL
NH2CH2CH2OHv25+v27	Aminoethanol	1288.97030	13.8297			24(12,12)-23(13,10)	-11.89370		555.46230	799.18175	555.50530	799.24361	JPL
NH2CH2CH2OHv25+v27	Aminoethanol	1288.97030	13.8297			24(12,12)-23(13,11)	-11.21050		555.46230	799.18175	555.50530	799.24361	JPL
l-H2C3O	Propadienone	1289.15370	0.0009			4(1,3)-4(1,4),vt=0-0	-8.99010		7.83620	11.27448	7.87920	11.33635	CDMS
H2SO4	Sulfuric acid	1289.15900	0.1434			67(33,35)-67(32,35)	-8.89640		762.05920	1096.42689	762.10220	1096.48876	JPL
N17O	Nitric oxide	1289.73290	0.0201			J=7/2-7/2,&Omega;=1/2,F1=7/2+-9/2-,F2=5/2+-7/2-	-12.04740		24.38830	35.08955	24.43132	35.15145	CDMS
c-C6H5OH	Phenol	1290.71610	0.0034			26(8,19)-27(5,22),v=1-0	-11.11450		60.59220	87.17878	60.63525	87.24072	CDMS
gG'a-CH3CHOHCH2OH	1,2-propanediol, gG'a 	1291.57250	0.0006			37(8,30)-37(7,30)	-9.49770		164.74560	237.03371	164.78868	237.09570	CDMS
17OH	Hydroxyl radical	1291.76360	0.0025			N=1-1,J+1/2=3/2-3/2,p=-1-1,F1=1-2,F+1/2=5/2-5/2	-8.10540		0.02760	0.03971	0.07069	0.10171	JPL
HCCNCv7=1	Ethyne Isocyanide	1292.50450	0.0506			J=12,l=1f-1e	-8.86900		228.91000	329.34853	228.95311	329.41056	JPL
NH2CH2CH2OHv25+v27	Aminoethanol	1293.07510	0.0772			25(7,18)-25(7,19)	-9.83790		533.90560	768.16664	533.94873	768.22870	JPL
N18O	Nitric oxide	1293.39940	0.013			J=47/2-47/2,&Omega;=1/2,F=49/2--49/2+	-12.41000		978.10100	1407.27832	978.14414	1407.34039	CDMS
C6H	1,3,5-Hexatriynyl	1293.50160	18.9357			J=73/2,&Omega;=1/2,F=36-36,l=f-e	-9.91480		78.74840	113.30073	78.79155	113.36281	JPL
C6H	1,3,5-Hexatriynyl	1293.51090	18.9357			J=73/2,&Omega;=1/2,F=37-37,l=f-e	-9.90300		78.74840	113.30073	78.79155	113.36281	JPL
NH2CH2CH2OHv26=1	Aminoethanol	1294.10570	0.1509			28(14,14)-27(15,12)	-11.50810		407.03110	585.62359	407.07427	585.68570	JPL
NH2CH2CH2OHv26=1	Aminoethanol	1294.10570	0.1509			28(14,14)-27(15,13)	-10.82570		407.03110	585.62359	407.07427	585.68570	JPL
NH2CH2CH2OHv26=1	Aminoethanol	1294.10570	0.1509			28(14,15)-27(15,12)	-10.82570		407.03110	585.62359	407.07427	585.68570	JPL
NH2CH2CH2OHv26=1	Aminoethanol	1294.10570	0.1509			28(14,15)-27(15,13)	-11.50810		407.03110	585.62359	407.07427	585.68570	JPL
CH3CHOv=0,1&2	Acetaldehyde	1294.60410	0.0036			6(2,4)-6(2,5)A,vt=1	-9.01790		162.50920	233.81314	162.55238	233.87527	JPL
15NO	Nitric oxide	1294.89350	0.0002			J=7/2-7/2,&Omega;=1/2,F=7/2+-7/2-	-10.35630		24.18990	34.80410	24.23309	34.86624	CDMS
15NO	Nitric oxide	1294.89410	0.0005			J=7/2-7/2,&Omega;=1/2,F=7/2+-7/2-	-10.35720		24.18990	34.80410	24.23309	34.86624	JPL
CH2CH13CN	Vinyl Cyanide 	1294.98060	0.0116			43(5,38)-43(5,39)	-8.86900		336.08880	483.55403	336.13200	483.61618	JPL
CH3COOHv=0	Acetic Acid	1295.26560	0.0002			19(14,5)A2-19(14,6)A1	-9.53410		124.34680	178.90847	124.39001	178.97064	CDMS
D213CO	Formaldehyde	1295.32550	0.0005			17(5,12)-17(5,13)	-8.16500		388.89730	559.54011	388.94051	559.60227	CDMS
CH3OHvt=0-2	Methanol	1295.41700	0.03			20(2,18)-20(2,19)A,vt=1	-10.44300		545.15300	784.34905	545.19621	784.41122	CDMS
CH3OHvt=0-2	Methanol	1295.41700	0.03			20(2)--20(2)+vt=1	-10.45290		545.15300	784.34905	545.19621	784.41122	JPL
H2SO4	Sulfuric acid	1295.58790	0.0455			14(8,7)-14(7,7)	-8.35570		35.18710	50.62610	35.23032	50.68827	JPL
CH3OHvt=0-2	Methanol	1295.83900	0.097			20(2,19)-20(2,18)-+,vt=1	0.00000		543.15300	781.47203	543.19622	781.53422	CDMS
H2CCO	Ketene	1296.07130	0.1377			39(3,36)-39(3,37)	-9.79120		607.04920	873.40336	607.09243	873.46557	CDMS
NH2CH2CH2OHv27=2	Aminoethanol	1296.48060	0.0006			8(1,8)-8(0,8)	-10.10130		175.71580	252.81439	175.75905	252.87661	JPL
HNO3v9=1	Nitric acid	1296.62900	0.0015			16(14,2)-16(14,3),F=15-15	-9.36220		569.95230	820.02951	569.99555	820.09174	JPL
HNO3v9=1	Nitric acid	1296.63080	0.0014			16(14,2)-16(14,3),F=17-17	-9.30930		569.95230	820.02951	569.99555	820.09174	JPL
CH2DCN	Methyl cyanide	1296.65040	0.3295			46(3,43)-46(3,44)	-9.51690		659.45590	948.80448	659.49915	948.86671	JPL
HNO3v9=1	Nitric acid	1296.65940	0.0015			16(14,2)-16(14,3),F=16-16	-9.33650		569.95230	820.02951	569.99555	820.09174	JPL
NH2CH2CH2OHv25=1	Aminoethanol	1297.15480	0.0229			55(9,47)-55(8,47)	-10.96700		854.74940	1229.78665	854.79267	1229.84890	JPL
c-HCOOD	Formic Acid	1297.33260	0.0646			51(7,44)-51(7,45)	-9.96580		1029.48051	1481.18429	1029.52378	1481.24656	JPL
H2NCH2COOH-IIv=1	Glycine	1297.35430	0.138			13(5,8)-13(5,9),F=13-13	-10.74130		1514.26900	2178.68278	1514.31228	2178.74504	JPL
13CH3CHO,vt&le;1	Acetaldehyde	1297.54520	0.0084			26(1,26)-25(2,23)E,vt=0	-10.58740		212.82860	306.21487	212.87188	306.27715	CDMS
D2CCO	Ketene	1298.12740	0.0025			11(2,9)-11(2,10)	-8.71710		56.59200	81.42280	56.63530	81.48510	CDMS
c-C6H5OH	Phenol	1298.64300	0.0074			69(45,25)-68(46,22),v=1-0	-11.08650		590.76020	849.97328	590.80352	850.03560	CDMS
c-C6H5OH	Phenol	1298.64300	0.0074			69(45,24)-68(46,23),v=1-0	-11.08650		590.76020	849.97328	590.80352	850.03560	CDMS
N17O	Nitric oxide	1298.64990	0.0127			J=5/2-5/2,&Omega;=1/2,F1=5/2+-5/2-,F2=7/2+-7/2-	-11.44250		13.00140	18.70624	13.04472	18.76856	CDMS
15N17O	Nitric oxide	1298.90230	0.0185			J=9/2-9/2,p=-1-1,F1=6-7,F2=7-8	-12.24550		37.62610	54.13592	37.66943	54.19826	CDMS
t-HCOOD	Formic Acid	1298.92790	0.0124			23(4,19)-24(2,22)	-10.59510		231.01830	332.38189	231.06163	332.44423	JPL
c-C6H5CCH	Phenylacetylene	1299.05090	0.0024			30(7,23)-30(7,24)	-10.54190		49.96840	71.89348	50.01173	71.95582	CDMS
H2NCH2COOH-Iv=1	Glycine	1299.28370	4.6532			21(10,12)-20(11,9),F=21-20	-10.16830		147.73700	212.55937	147.78034	212.62172	JPL
H2NCH2COOH-Iv=1	Glycine	1299.47810	4.6532			21(10,11)-20(11,10),F=21-20	-10.16820		147.73700	212.55937	147.78035	212.62173	JPL
CH3CHOv=0,1&2	Acetaldehyde	1300.16810	0.0394			20(4,16)-20(4,17)A,vt=1	-9.16480		302.03040	434.55187	302.07377	434.61427	JPL
17OD	Hydroxyl radical	1300.17250	0.0061			N=2-2,J+1/2=5/2-5/2,p=1--1,F1=4-4,F=2-3	-7.91930		46.12210	66.35985	46.16547	66.42224	JPL
c-SiC3	3-Silanetetrayl-1,2-Propadienylidene 	1300.19030	0.005			6(2,4)-6(2,5)	-7.72430		12.45380	18.49679	12.49717	18.56120	CDMS
l-H2C3O	Propadienone	1300.23520	0.002			4(1,3)-4(1,4),vt=1-1	-9.46010		7.95580	11.44656	7.99917	11.50896	CDMS
NH2CH2CH2OHv27=1	Aminoethanol	1300.23550	0.0112			10(2,8)-9(4,5)	-11.49720		124.27040	178.79636	124.31377	178.85876	JPL
CH2CHNC	Vinyl Isocyanide	1300.44610	0.0263			53(6,47)-53(6,48)	-9.25730		546.12720	785.75070	546.17058	785.81311	JPL
17OD	Hydroxyl radical	1300.61380	0.0061			N=2-2,J+1/2=5/2-5/2,p=1--1,F1=2-3,F=1-2	-8.18440		46.12200	66.35970	46.16538	66.42212	JPL
15N17O	Nitric oxide	1300.88990	0.022			J=3/2-3/2,p=1--1,F1=1-1,F2=2-2	-11.27370		4.69520	6.75539	4.73859	6.81782	CDMS
aG'g-CH3CHOHCH2OH	1,2-propanediol, aG'g	1300.99780	0.0027			37(22,15)-36(23,14)	-9.66720		237.81390	342.16338	237.85730	342.22582	CDMS
aG'g-CH3CHOHCH2OH	1,2-propanediol, aG'g	1300.99780	0.0027			37(22,16)-36(23,13)	-9.66720		237.81390	342.16338	237.85730	342.22582	CDMS
17OD	Hydroxyl radical	1301.46110	0.0061			N=2-2,J+1/2=5/2-5/2,p=1--1,F1=3-3,F=0-1	-8.53030		46.12190	66.35956	46.16531	66.42202	JPL
NO,v=1	Nitric oxide	1301.57490	0.0213			J=45/2-45/2,&Omega;=1/2,F=47/2+-47/2-	-16.28340		2815.49080	4050.88959	2815.53422	4050.95206	CDMS
N17O	Nitric oxide	1301.65130	0.0131			J=5/2-5/2,&Omega;=1/2,F1=5/2+-3/2-,F2=5/2+-5/2-	-12.46860		12.99910	18.70293	13.04252	18.76540	CDMS
CCCNv5=1	Cyanoethynyl	1301.66080	0.1405			J=21/2,&Omega;=3/2,l=f-e	-8.76660		168.01680	241.73731	168.06022	241.79978	CDMS
Ga-n-C3H7OH	<i>n</i>-Propanol	1301.94460	0.0004			30(4,27)-30(3,27)	-8.53110		151.55120	218.04979	151.59463	218.11227	CDMS
c-C6H5OH	Phenol	1301.98420	0.0006			63(22,41)-63(22,42),v=0-0	-11.88250		360.96750	519.35240	361.01093	519.41489	CDMS
17OD	Hydroxyl radical	1302.00940	0.0061			N=2-2,J+1/2=5/2-5/2,p=1--1,F1=2-3,F=1-1	-8.64840		46.12190	66.35956	46.16533	66.42204	JPL
c-C6H5OH	Phenol	1302.02790	0.0016			85(29,56)-85(29,57),v=1-1	-12.39590		650.84830	936.42676	650.89173	936.48925	CDMS
aG'g-CH3CHOHCH2OH	1,2-propanediol, aG'g	1302.04420	0.0005			46(14,32)-46(14,33)	-9.51080		270.80460	389.62995	270.84803	389.69244	CDMS
CH2DCCH	Methyl Acetylene	1302.07580	0.334			4(1,3)-4(1,4)	-9.20920		9.03330	12.99683	9.07673	13.05932	JPL
17OH	Hydroxyl radical	1302.11240	0.0021			N=1-1,J+1/2=3/2-3/2,p=-1-1,F1=1-1,F+1/2=5/2-3/2	-7.08080		0.02720	0.03913	0.07063	0.10163	JPL
c-C6H5OH	Phenol	1302.11880	0.0006			63(22,41)-63(22,42),v=1-1	-12.10200		360.96910	519.35470	361.01253	519.41720	CDMS
CH313CHO,vt&le;1	Acetaldehyde	1302.29940	0.0005			36(6,30)-36(6,31)A,vt=0	-9.61010		483.30850	695.37765	483.35194	695.44015	CDMS
15NH3	Ammonia	1302.31940	1.0654			15(3)0a-15(3)0s	-11.50610		2304.95390	3316.29543	2304.99734	3316.35794	JPL
c-C2H4S	Ethylene sulfide	1302.36180	0.0001			5(3,2)-5(3,3)	-8.37360		13.27270	19.09658	13.31614	19.15908	CDMS
ND3	Ammonia			1302.38400	0.01	8(-3)0a-8(3)0s	-7.72650		351.32490	505.47526	351.36834	505.53776	CDMS
17OD	Hydroxyl radical	1302.40950	0.0061			N=2-2,J+1/2=5/2-5/2,p=1--1,F1=4-3,F=2-2	-8.64910		46.12200	66.35970	46.16544	66.42221	JPL
l-C3Hv=0	Propynylidyne	1302.83250	0.2012			J=23/2,&Omega;=1/2,F=12+-12-	-8.35320		68.35060	98.34070	68.39406	98.40323	JPL
HCCCH2NH2	Propargylamine	1302.84020	0.0009			2(1,1)-2(1,2),F=2-1	-11.36280		1.69640	2.44074	1.73986	2.50327	CDMS
15N17O	Nitric oxide	1302.90710	0.0189			J=7/2-7/2,p=1--1,F1=4-5,F2=5-6	-11.73250		23.51220	33.82903	23.55566	33.89156	CDMS
HCCCH2NH2	Propargylamine	1303.12300	0.0009			2(1,1)-2(1,2),F=2-3	-11.34670		1.69640	2.44074	1.73987	2.50328	CDMS
c-C6H5OH	Phenol	1303.52500	0.0256			95(21,74)-94(24,71),v=1-0	-11.76480		749.28240	1078.05167	749.32588	1078.11422	CDMS
H37ClCO	Formyl Chloride	1303.54240	0.0105			2(1,1)-2(1,2),F=5/2-7/2	-11.55780		3.53970	5.09281	3.58318	5.15537	JPL
HCCCH2NH2	Propargylamine	1303.55600	0.002			2(1,1)-2(1,2),F=1-1	-10.88500		1.69640	2.44074	1.73988	2.50330	CDMS
HCCCH2NH2	Propargylamine	1303.58310	0.0006			2(1,1)-2(1,2),F=3-3	-10.44330		1.69640	2.44074	1.73988	2.50331	CDMS
HCCCH2NH2	Propargylamine	1303.59390	0.0002			2(1,1)-2(1,2)	-10.06120		1.69640	2.44074	1.73988	2.50331	CDMS
HCCCH2NH2	Propargylamine	1303.63190	0.002			2(1,1)-2(1,2),F=2-2	-10.69670		1.69640	2.44074	1.73988	2.50331	CDMS
17OD	Hydroxyl radical	1303.80510	0.0061			N=2-2,J+1/2=5/2-5/2,p=1--1,F1=4-3,F=2-1	-9.81340		46.12190	66.35956	46.16539	66.42213	JPL
CH3CHOv=0,1&2	Acetaldehyde	1303.98000	0.0258			20(4,16)-20(4,17)E,vt=0	-9.00810		160.27880	230.60411	160.32230	230.66670	JPL
l-C3Hv=0	Propynylidyne	1304.06680	0.2017			J=23/2,&Omega;=1/2,F=11+-11-	-8.38870		68.35030	98.34027	68.39380	98.40285	JPL
HCCCH2NH2	Propargylamine	1304.09200	0.001			2(1,1)-2(1,2),F=3-2	-11.34610		1.69640	2.44074	1.73990	2.50333	CDMS
N17O	Nitric oxide	1304.33200	0.0252			J=9/2-9/2,&Omega;=1/2,F1=13/2+-13/2-,F2=15/2+-13/2-	-12.94440		39.02530	56.14907	39.06881	56.21167	CDMS
HCCCH2NH2	Propargylamine	1304.34770	0.0009			2(1,1)-2(1,2),F=1-2	-11.36180		1.69640	2.44074	1.73991	2.50334	CDMS
H37ClCO	Formyl Chloride	1304.73440	0.009			2(1,1)-2(1,2),F=5/2-3/2	-11.46980		3.53970	5.09281	3.58322	5.15543	JPL
H37ClCO	Formyl Chloride	1304.76320	0.0128			2(1,1)-2(1,2),F=3/2-1/2	-11.61530		3.53980	5.09295	3.58332	5.15557	JPL
NO	Nitric oxide	1305.09840	0.1239			J=43/2,&Omega;=3/2,F=41/2+-43/2-	-15.00230		948.30410	1364.39022	948.34763	1364.45285	JPL
NH2CH2CH2OHv26+v27	Aminoethanol	1305.30170	0.1006			17(2,15)-16(5,12)	-11.73480		321.83880	463.05158	321.88234	463.11422	JPL
c-C5H4CH2	Methylenecyclopentadiene	1305.60580	0.0206			11(5,6)-11(5,7)	-10.06550		18.51060	26.63280	18.55415	26.69546	CDMS
D2CO	Formaldehyde	1305.64590	0			7(3,4)-7(3,5)	-7.59710		88.47300	127.29374	88.51655	127.35640	CDMS
D2CO	Formaldehyde	1305.65600	0.0029			7(3,4)-7(3,5)	-7.59700		88.47300	127.29218	88.51655	127.35484	JPL
c-C6H5OH	Phenol	1306.25030	0.005			44(11,33)-45(10,36),v=1-0	-10.90730		167.44090	240.91042	167.48447	240.97311	CDMS
HNO3	Nitric acid	1306.30440	0.0013			40(33,7)-40(33,8),F=39-39	-9.27540		668.46490	961.76635	668.50847	961.82904	JPL
HNO3	Nitric acid	1306.30470	0.0013			40(33,7)-40(33,8),F=41-41	-9.25390		668.46490	961.76635	668.50847	961.82904	JPL
HNO3	Nitric acid	1306.31660	0.0013			40(33,7)-40(33,8),F=40-40	-9.26480		668.46500	961.76649	668.50857	961.82919	JPL
N17O	Nitric oxide	1306.74750	0.0174			J=7/2-7/2,&Omega;=1/2,F1=9/2+-7/2-,F2=9/2+-7/2-	-11.99830		24.38400	35.08337	24.42759	35.14608	CDMS
CH3CHNH2COOH-II	&alpha;-Alanine	1306.81920	0.0014			5(3,2)-5(3,3),F=5-4	-10.23890		3.46890	4.99101	3.51249	5.05372	CDMS
CH3CHNH2COOH-II	&alpha;-Alanine	1306.82490	0.0014			5(3,2)-5(3,3),F=5-6	-10.23760		3.46890	4.99101	3.51249	5.05372	CDMS
CH3CHNH2COOH-II	&alpha;-Alanine	1306.85290	0.0013			5(3,2)-5(3,3),F=5-5	-8.78320		3.46890	4.99101	3.51249	5.05373	CDMS
CH3CHNH2COOH-II	&alpha;-Alanine	1306.93260	0.0013			5(3,2)-5(3,3),F=6-6	-8.69340		3.46890	4.99101	3.51249	5.05373	CDMS
CH3CHNH2COOH-II	&alpha;-Alanine	1306.94880	0.0014			5(3,2)-5(3,3),F=4-4	-8.85860		3.46890	4.99101	3.51250	5.05373	CDMS
CH3CHNH2COOH-II	&alpha;-Alanine	1306.96070	0.0014			5(3,2)-5(3,3),F=6-5	-10.23750		3.46890	4.99101	3.51250	5.05373	CDMS
CH3CHNH2COOH-II	&alpha;-Alanine	1306.98260	0.0014			5(3,2)-5(3,3),F=4-5	-10.23880		3.46890	4.99101	3.51250	5.05373	CDMS
c-C6H5CCH	Phenylacetylene	1307.10510	0.0024			67(14,53)-67(14,54)	-10.49390		239.04500	343.93289	239.08860	343.99562	CDMS
NH2CH2CH2OHv27=1	Aminoethanol	1307.15100	0.0108			56(9,48)-56(8,48)	-10.56760		670.37650	964.51670	670.42010	964.57943	JPL
H37ClCO	Formyl Chloride	1307.72470	0.0112			2(1,1)-2(1,2),F=5/2-5/2	-11.07520		3.53960	5.09267	3.58322	5.15543	JPL
13CH3CHO,vt&le;1	Acetaldehyde	1308.11390	0.0125			41(1,40)-40(3,37)E,vt=0	-11.97600		534.10630	768.46483	534.14993	768.52761	CDMS
t-HONO	Trans - HONO	1308.67030	0.0235			9(1,8)-8(2,7)	-8.79570		39.06920	56.21154	39.11285	56.27435	JPL
H37ClCO	Formyl Chloride	1308.94980	0.0004			2(1,1)-2(1,2),F=3/2-3/2	-11.40790		3.53970	5.09281	3.58336	5.15563	JPL
CH2CDCN	Vinyl Cyanide	1309.15340	0.002			8(2,6)-8(2,7)	-8.31520		15.93000	22.91958	15.97367	22.98241	JPL
D2CS	Thioformaldehyde	1309.17530	0.0032			26(4,22)-26(4,23)	-8.85220		403.21971	580.13988	403.26338	580.20271	CDMS
H37ClCO	Formyl Chloride	1309.44130	0.0045			2(1,1)-2(1,2),F=7/2-7/2	-10.77590		3.53970	5.09281	3.58338	5.15565	JPL
g'G'g-CH3CHOHCH2OH	1,2-propanediol, g'G'g	1309.51700	0.0015			56(12,45)-56(11,45)	-8.73410		373.20070	536.95605	373.24438	537.01890	CDMS
g'G'g-CH3CHOHCH2OH	1,2-propanediol, g'G'g	1309.54250	0.0004			43(9,35)-43(8,35)	-8.49350		219.88940	316.37386	219.93308	316.43670	CDMS
NO	Nitric oxide	1309.79100	0.1265			J=43/2,&Omega;=3/2,F=41/2+-41/2-	-12.33500		948.30410	1364.39022	948.34779	1364.45308	JPL
NO	Nitric oxide	1309.84320	0.0129			J=45/2-45/2,&Omega;=1/2,F=43/2+-43/2-	-12.33540		948.30390	1364.40666	948.34759	1364.46952	CDMS
N17O	Nitric oxide	1309.90220	0.019			J=9/2-9/2,&Omega;=1/2,F1=11/2+-13/2-,F2=9/2+-11/2-	-12.50610		39.02670	56.15108	39.07039	56.21395	CDMS
S3	Thiozone	1310.35080	0.0054			41(5,37)-40(6,34)	-9.55070		178.18600	256.36843	178.22971	256.43132	JPL
c-C6H5OH	Phenol	1310.37000	0.0182			75(51,25)-76(50,26),v=0-1	-11.54290		720.99210	1037.34818	721.03581	1037.41107	CDMS
c-C6H5OH	Phenol	1310.37000	0.0182			75(51,24)-76(50,27),v=0-1	-11.54290		720.99210	1037.34818	721.03581	1037.41107	CDMS
HCCCH2OH	Propargyl Alcohol	1310.51580	0.001			46(6,40)-46(6,41),vt=1-1	-10.14630		377.69500	543.41573	377.73871	543.47862	JPL
H37ClCO	Formyl Chloride	1310.66630	0.0157			2(1,1)-2(1,2),F=1/2-1/2	-11.61030		3.53980	5.09295	3.58352	5.15586	JPL
g'G'g-CH3CHOHCH2OH	1,2-propanediol, g'G'g	1310.67710	0.0197			90(20,71)-90(19,71)	-9.82200		964.53500	1387.75974	964.57872	1387.82265	CDMS
ND3	Ammonia			1310.67900	0.01	13(9)0a-13(9)0s	-7.52970		771.16380	1109.52631	771.20752	1109.58921	CDMS
HNO3v8=1	Nitric acid	1311.06790	0.0033			11(10,1)-11(10,2),F=10-10	-9.99570		817.78060	1176.59710	817.82433	1176.66002	JPL
HNO3v8=1	Nitric acid	1311.07200	0.0027			11(10,1)-11(10,2),F=12-12	-9.91940		817.78060	1176.59710	817.82433	1176.66002	JPL
HNO3v8=1	Nitric acid	1311.11700	0.0049			11(10,1)-11(10,2),F=11-11	-9.95920		817.78060	1176.59710	817.82433	1176.66002	JPL
c-C6H5OH	Phenol	1311.15590	0.0032			26(5,21)-25(8,18),v=0-1	-11.07150		56.65300	81.51114	56.69674	81.57406	CDMS
N17O	Nitric oxide	1311.33360	0.0217			J=3/2-3/2,&Omega;=1/2,F1=1/2+-1/2-,F2=1/2+-3/2-	-11.56090		4.87170	7.00934	4.91544	7.07227	CDMS
c-C6H5OH	Phenol	1311.47370	0.0255			95(22,74)-94(23,71),v=1-0	-11.98360		749.28210	1078.05123	749.32585	1078.11417	CDMS
H37ClCO	Formyl Chloride	1311.94010	0.0092			2(1,1)-2(1,2),F=3/2-5/2	-11.46500		3.53960	5.09267	3.58336	5.15563	JPL
NH2CH2CH2OHv25+v27	Aminoethanol	1312.02220	0.0084			8(3,5)-8(3,6)	-9.82250		423.93850	609.94943	423.98226	610.01239	JPL
SD	Mercapto radical	1312.13200	0.0024			J=15/2,&Omega;=3/2,F=15/2+-17/2-	-10.34400		289.72700	416.85013	289.77077	416.91310	JPL
ND3	Ammonia			1312.14300	0.01	12(8)0a-12(8)0s	-7.80090		671.81880	966.59183	671.86257	966.65481	CDMS
NH2CH2CH2OHv26+v27	Aminoethanol	1312.22000	0.0164			27(4,24)-27(3,24)	-10.21460		399.69180	575.06404	399.73557	575.12701	JPL
SD	Mercapto radical	1312.23990	0.0027			J=15/2,&Omega;=3/2,F=13/2+-15/2-	-10.34430		289.72700	416.85013	289.77077	416.91310	JPL
NH2CH2CH2OHv25+v27	Aminoethanol	1312.40930	0.0127			12(4,8)-12(4,9)	-9.78300		440.28780	633.47229	440.33158	633.53527	JPL
NH2CH2CH2OHv27=2	Aminoethanol	1312.42520	0.0044			42(11,31)-42(11,32)	-9.62990		509.23870	732.67668	509.28248	732.73967	JPL
SD	Mercapto radical	1312.58430	0.0023			J=15/2,&Omega;=3/2,F=13/2+-13/2-	-8.60180		289.72700	416.85013	289.77078	416.91312	JPL
SD	Mercapto radical	1312.62630	0.0023			J=15/2,&Omega;=3/2,F=15/2+-15/2-	-8.54970		289.72700	416.85013	289.77078	416.91312	JPL
SD	Mercapto radical	1312.68150	0.002			J=15/2,&Omega;=3/2,F=17/2+-17/2-	-8.49080		289.72690	416.84998	289.77069	416.91298	JPL
N17O	Nitric oxide	1312.80570	0.0122			J=5/2-5/2,&Omega;=1/2,F1=3/2+-5/2-,F2=3/2+-3/2-	-12.40920		13.00320	18.70883	13.04699	18.77183	CDMS
SD	Mercapto radical	1312.97080	0.0025			J=15/2,&Omega;=3/2,F=15/2+-13/2-	-10.34390		289.72700	416.85013	289.77080	416.91314	JPL
G'Gg'gg'-CH2(OH)CH(OH)CH2OH	Glycerol	1313.06280	0.0112			16(6,11)-16(5,11)	-9.07210		28.04450	40.35004	28.08830	40.41306	CDMS
SD	Mercapto radical	1313.17580	0.0024			J=15/2,&Omega;=3/2,F=17/2+-15/2-	-10.34330		289.72690	416.84998	289.77070	416.91301	JPL
NO	Nitric oxide	1313.30200	0.1266			J=43/2,&Omega;=3/2,F=43/2+-43/2-	-12.31330		948.30380	1364.38979	948.34761	1364.45282	JPL
CH3COOHv=0	Acetic Acid	1313.34490	0.0535			47(33,14)A1-48(28,21)A2	-14.28090		728.49760	1048.15237	728.54141	1048.21540	CDMS
NO	Nitric oxide	1313.35540	0.0128			J=45/2-45/2,&Omega;=1/2,F=45/2+-45/2-	-12.31370		948.30360	1364.40623	948.34741	1364.46926	CDMS
ND3	Ammonia			1313.43900	0.02	14(10)0a-14(10)0s	-8.09790		876.85770	1261.59538	876.90151	1261.65841	CDMS
N18O	Nitric oxide	1313.52120	0.0002			J=7/2-7/2,&Omega;=1/2,F=7/2+-7/2-	-10.62260		23.78130	34.21621	23.82511	34.27925	CDMS
H37ClCO	Formyl Chloride	1313.62370	0.0106			2(1,1)-2(1,2),F=7/2-5/2	-11.55110		3.53960	5.09267	3.58342	5.15571	JPL
NO	Nitric oxide	1314.49700	0.1238			J=43/2,&Omega;=3/2,F=43/2+-45/2-	-14.99600		948.30380	1364.38979	948.34765	1364.45287	JPL
