Species	Chemical Name	Freq-MHz(rest frame,redshifted)	Freq Err(rest frame,redshifted)	Meas Freq-MHz(rest frame,redshifted)	Meas Freq Err(rest frame,redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	Linelist
CH2NH	Methanimine	883.13800	0.011			8(3,5)-8(3,6),F=9-8	0.00000		126.22500	SLAIM
CH2NH	Methanimine	883.14900	0.012			8(3,5)-8(3,6),F=7-8	0.00000		126.22500	SLAIM
SiC2v=0	Silicon Carbide	883.29880	0.1769			21(6,15)-21(6,16)	-7.98730		231.09760	JPL
He&delta;	Helium Recombination Line	883.39800	0			He(308)&delta;	0.00000		0.00000	Recomb
H&beta;	Hydrogen Recombination Line	883.50200	0			H(245)&beta;	0.00000		0.00000	Recomb
17OD	Hydroxyl radical	883.86000	0.0152			N=2-2,J+1/2=5/2-5/2,p=1--1,F1=2-4,F=4-5	-11.82900		46.11020	JPL
He&beta;	Helium Recombination Line	883.86200	0			He(245)&beta;	0.00000		0.00000	Recomb
C&beta;	Carbon Recombination Line	883.94300	0			C(245)&beta;	0.00000		0.00000	Recomb
HCCCH2NH2	Propargylamine	884.08790	0.0006			24(4,20)-24(4,21)	-10.42400		101.25000	CDMS
NO	Nitric oxide	884.11420	0.0597			J=37/2,&Omega;=3/2,F=37/2+-37/2-	-12.14570		737.72080	JPL
PO	Phosphorus Monoxide	884.11640	0.0652			J=5/2,&Omega;=1/2,F=3-3,l=f	-9.20650		5.83110	JPL
NO	Nitric oxide	884.13750	0.0061			J=39/2-39/2,&Omega;=1/2,F=39/2--39/2+	-12.14610		737.72050	CDMS
H13CN,v2=3	Hydrogen cyanide 	884.39360	0.0051			1(-1)-1(1	-10.75960		2099.15530	CDMS
H&gamma;	Hydrogen Recombination Line	884.46200	0			H(280)&gamma;	0.00000		0.00000	Recomb
ND3	Ammonia	884.61200	0.226			13(1)0a-13(1)0s	0.00000		927.63500	SLAIM
CH2CN	Cyanomethyl	884.62880	0.2462			15(2,13)-15(2,14),J+F=14-14,S=22-22	-9.57040		117.21810	CDMS
He&gamma;	Helium Recombination Line	884.82300	0			He(280)&gamma;	0.00000		0.00000	Recomb
CH2CN	Cyanomethyl	884.84950	0.2485			15(2,13)-15(2,14),J+F=13-13,S=23-23	-9.60160		117.21710	CDMS
C&gamma;	Carbon Recombination Line	884.90300	0			C(280)&gamma;	0.00000		0.00000	Recomb
CH2D37Cl	Chloromethane	884.93700	0.0015			N(Ka,Kc)=2(1,1)-2(1,2),J=1/2-3/2	-9.95330		6.00590	CDMS
CH2D37Cl	Chloromethane	884.97620	0.0015			N(Ka,Kc)=2(1,1)-2(1,2),J=7/2-5/2	-9.89510		6.00570	CDMS
NH2CH2CH2OHv25=1	Aminoethanol	885.04190	0.0172			56(9,48)-56(8,48)	-11.31810		873.52130	JPL
GGag'g'-CH2(OH)CH(OH)CH2OH	Glycerol	885.09240	0.0227			26(6,20)-26(6,21)	-9.74730		55.53440	CDMS
CH2CN	Cyanomethyl	885.12200	0.2461			15(2,13)-15(2,14),J=29/2-29/2	-8.58050		117.21640	CDMS
CH2CN	Cyanomethyl	885.28110	0.2485			15(2,13)-15(2,14),J+F=14-14,S=21-21	-9.57110		117.21680	CDMS
H2CS	Thioformaldehyde	885.68630	0.0481			38(4,34)-38(4,35)	-10.78020		994.13390	CDMS
c-C5H5CH	Benzvalene	885.75560	0.0225			6(4,2)-6(4,3)	-9.67720		8.01640	CDMS
15N17O	Nitric oxide	886.09930	0.1032			J=39/2-39/2,p=1--1,F1=17-17,F2=17-17	-12.91510		761.27860	CDMS
NO	Nitric oxide	886.15550	0.0582			J=37/2,&Omega;=3/2,F=39/2+-37/2-	-14.69940		737.72080	JPL
H&epsilon;	Hydrogen Recombination Line	886.54300	0			H(331)&epsilon;	0.00000		0.00000	Recomb
17OD	Hydroxyl radical	886.66870	0.0161			N=1-1,J+1/2=3/2-3/2,p=-1-1,F1=1-2,F=2-2	-12.52220		0.01520	JPL
c-H13COOH	Formic acid	886.70400	0.0017			28(5,23)-28(5,24)	-8.89190		358.81900	JPL
CH2OH13CHO	Glycolaldehyde	886.78060	0.0005			3(2,1)-4(1,4)	-9.69440		3.95090	CDMS
c-C3H6O	Oxetane	887.19390	0.0004			10(10,0)-10(10,1)	-8.10010		43.78130	CDMS
c-C3H6O	Oxetane	887.19390	0.0004			10(10,0)-10(10,1)	-8.10010		43.78130	CDMS
HCCNCv5=1	Ethyne Isocyanide	887.34610	0.1195			J=16,l=1f-1e	-8.75700		679.08050	JPL
17OD	Hydroxyl radical	887.41650	0.0151			N=2-2,J+1/2=5/2-5/2,p=1--1,F1=2-3,F=4-4	-9.84100		46.11010	JPL
g-CH3CH2OH	gauche-Ethanol	887.42630	0.0018			21(5,16)-21(5,17),vt=0-0	-9.77380		194.40710	JPL
NO	Nitric oxide	887.52370	0.0637			J=37/2,&Omega;=3/2,F=35/2+-37/2-	-14.69800		737.72080	JPL
HeII&alpha;	Helium Recombination Line	887.61730				HeII(309)&alpha;	0.00000		0.00000	SLAIM
l-H2C3O	Propadienone	887.62820	2.0175			22(2,20)-22(2,21),vt=1-1	-9.59430		93.00130	CDMS
17OD	Hydroxyl radical	887.63950	0.0151			N=2-2,J+1/2=5/2-5/2,p=1--1,F1=3-4,F=5-5	-9.84110		46.11020	JPL
CH3OCH3	Dimethyl ether	887.68700	0.002			20(6,14)-19(7,12)EE	-9.96640		168.09540	CDMS
c-C5H4CH2	Methylenecyclopentadiene	887.81500	0.0955			22(9,13)-22(9,14)	-10.30740		68.70760	CDMS
N18O	Nitric oxide	888.47490	0.0065			J=41/2-41/2,&Omega;=1/2,F=43/2+-43/2-	-12.22800		768.84970	CDMS
NH2CH2CH2OHv26+v27	Aminoethanol	888.63460	0.004			9(1,9)-9(0,9)	-10.59050		282.48600	JPL
H2NCH2COOH-Iv=1	Glycine	889.03290	2.5912			13(6,7)-12(7,6),F=13-12	-10.61080		101.09150	JPL
H&zeta;	Hydrogen Recombination Line	889.55400	0			H(351)&zeta;	0.00000		0.00000	Recomb
CH3CHNH2COOH-I	&alpha;-Alanine	889.69750	0.0004			5(3,2)-5(3,3),F=5-5	-10.90300		3.43020	CDMS
CH3CHNH2COOH-I	&alpha;-Alanine	889.82100	0.0004			5(3,2)-5(3,3),F=6-6	-10.81310		3.43020	CDMS
CH3CHNH2COOH-I	&alpha;-Alanine	889.84610	0.0004			5(3,2)-5(3,3),F=4-4	-10.97830		3.43020	CDMS
17OH	Hydroxyl radical	890.01060	0.0482			N=5-5,J+1/2=9/2-9/2,p=1--1,F1=4-4,F+1/2=3/2-5/2	-10.74570		606.49070	JPL
Ga-n-C3H7OH	<i>n</i>-Propanol	890.01900	0.0003			31(4,28)-31(3,28)	-8.85410		161.15970	CDMS
17OD	Hydroxyl radical	890.26480	0.0151			N=2-2,J+1/2=5/2-5/2,p=1--1,F1=2-2,F=4-3	-8.56050		46.11000	JPL
gGG'g-CH2OHCH2CH2OH	1,3-propanediol, gGG'g	890.82250	0.0014			25(10,15)-25(10,16),v=1-0	-9.42210		88.42250	CDMS
CH3CH2CH2CN-gauche	Butyronitrile	890.86420	0.0052			13(5,9)-12(6,6)	-9.95720		115.80560	JPL
n-C3H7CN,v=0	n-Butyronitrile, gauche/anti combined	890.86500	0.0017			13(5,9)-12(6,6),gauche	-10.72660		24.07540	CDMS
C9S	Thiononaoctaenylidene	890.88020	0.0001			J=2-1	-7.68580		0.01490	CDMS
c-C6H5OH	Phenol	890.89530	0.0055			57(12,45)-56(15,42),v=1-0	-11.55070		269.67030	CDMS
17OD	Hydroxyl radical	891.19600	0.0151			N=2-2,J+1/2=5/2-5/2,p=1--1,F1=3-3,F=5-4	-8.47060		46.11010	JPL
H&delta;	Hydrogen Recombination Line	891.64000	0			H(307)&delta;	0.00000		0.00000	Recomb
g-CH3CH2OH	gauche-Ethanol	891.81600	0.0014			15(4,11)-15(4,12),vt=0-0	-9.67130		122.50690	JPL
CH2CN	Cyanomethyl	891.98570	0.0046			1(1,0)-1(1,1),J+F=2-2,S=6-5	-9.87380		9.83510	CDMS
He&delta;	Helium Recombination Line	892.00300	0			He(307)&delta;	0.00000		0.00000	Recomb
17OD	Hydroxyl radical	892.15420	0.0151			N=2-2,J+1/2=5/2-5/2,p=1--1,F1=4-4,F=6-5	-8.38180		46.11020	JPL
HDO	Water	892.30920	0.0063			8(5,3)-8(5,4)	-9.00340		942.53220	JPL
HDCO	Formaldehyde	892.44800	0	892.60000	0.5	8(3,5)-8(3,6)	0.00000		127.28500	SLAIM
HDCO	Formaldehyde	892.44830	0.0001			8(3,5)-8(3,6)	-7.76970		127.28540	CDMS
HDCO	Formaldehyde	892.46520	0.0026			8(3,5)-8(3,6)	-7.76660		127.32060	JPL
CH3O13CHO(TopModel)	Methyl Formate	892.64400	0.009			36(6,31)-35(8,28)vt=0-0	0.00000		288.88340	TopModel
NO	Nitric oxide	892.86550	0.0642			J=37/2,&Omega;=3/2,F=37/2+-39/2-	-14.69280		737.72050	JPL
17OH	Hydroxyl radical	893.16240	0.0472			N=5-5,J+1/2=9/2-9/2,p=1--1,F1=4-4,F+1/2=5/2-3/2	-10.62920		606.48690	JPL
N17O	Nitric oxide	893.40840	0.0137			J=5/2-5/2,&Omega;=1/2,F1=7/2+-7/2-,F2=7/2+-5/2-	-12.70130		13.00660	CDMS
H&alpha;	Hydrogen Recombination Line	893.74900	0			H(194)&alpha;	0.00000		0.00000	Recomb
CH3O13CHO(TopModel)	Methyl Formate	893.77100	0.052			52(14,38)-52(14,39)+-vt=1-1	0.00000		782.07890	TopModel
H2SO4	Sulfuric acid	893.85840	0.0621			59(29,31)-59(28,31)	-8.94230		592.24680	JPL
17OD	Hydroxyl radical	893.86940	0.0161			N=1-1,J+1/2=3/2-3/2,p=-1-1,F1=3-2,F=1-2	-12.12600		0.01520	JPL
HNO3v6=1	Nitric acid	893.94270	0.0011			12(11,1)-12(11,2),F=13-13	-9.97760		711.64410	JPL
H&gamma;	Hydrogen Recombination Line	893.95600	0			H(279)&gamma;	0.00000		0.00000	Recomb
G'Gg'gg'-CH2(OH)CH(OH)CH2OH	Glycerol	893.98740	0.0025			11(4,8)-11(3,8)	-9.45280		13.44680	CDMS
He&alpha;	Helium Recombination Line	894.11300	0			He(194)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	894.19500	0			C(194)&alpha;	0.00000		0.00000	Recomb
CH3O13CHO(TopModel)	Methyl Formate	894.23400	1.973			49(22,27)-49(22,28)vt=1-1	0.00000		848.92350	TopModel
He&gamma;	Helium Recombination Line	894.32000	0			He(279)&gamma;	0.00000		0.00000	Recomb
H&beta;	Hydrogen Recombination Line	894.36500	0			H(244)&beta;	0.00000		0.00000	Recomb
C&gamma;	Carbon Recombination Line	894.40200	0			C(279)&gamma;	0.00000		0.00000	Recomb
CH3OCN	Methyl cyanate	894.42920	0.0078			25(4,21)-25(4,22),A	-8.98020		128.24430	CDMS
H&epsilon;	Hydrogen Recombination Line	894.56700	0			H(330)&epsilon;	0.00000		0.00000	Recomb
He&beta;	Helium Recombination Line	894.72900	0			He(244)&beta;	0.00000		0.00000	Recomb
C&beta;	Carbon Recombination Line	894.81100	0			C(244)&beta;	0.00000		0.00000	Recomb
CH3O13CHO(TopModel)	Methyl Formate	894.81900	2.549			51(22,29)-50(-23,27)vt=1-1	0.00000		889.75260	TopModel
NO	Nitric oxide	894.90680	0.0597			J=37/2,&Omega;=3/2,F=39/2+-39/2-	-12.11170		737.72050	JPL
NO	Nitric oxide	894.93030	0.0062			J=39/2-39/2,&Omega;=1/2,F=41/2--41/2+	-12.11200		737.72020	CDMS
gGG'g-CH2OHCH2CH2OH	1,3-propanediol, gGG'g	895.03570	0.0027			34(13,21)-34(13,22),v=1-0	-9.48720		160.05020	CDMS
NH2CH2CH2OHv27=2	Aminoethanol	895.81590	0.0059			50(8,43)-50(7,43)	-10.81030		618.01640	JPL
H213CS	Thioformaldehyde	895.93200	8.394			9(2,7)-9(2,8)	0.00000		86.27900	SLAIM
c-SiC3	3-Silanetetrayl-1,2-Propadienylidene 	896.05100	0.012			1(1,0)-1(1,1)	0.00000		1.44500	SLAIM
HeII&alpha;	Helium Recombination Line	896.27700				HeII(308)&alpha;	0.00000		0.00000	SLAIM
c-HCOOD	Formic Acid	896.28560	0.002			21(4,17)-21(4,18)	-8.64310		197.63920	JPL
CH2DCl	Chloromethane	896.87040	0.0072			N(Ka,Kc)=2(1,1)-2(1,2),J=3/2-1/2	-9.93470		6.03850	CDMS
CH2DCl	Chloromethane	896.90960	0.0036			N(Ka,Kc)=2(1,1)-2(1,2),J=5/2-7/2	-9.87650		6.03830	CDMS
H&zeta;	Hydrogen Recombination Line	897.13600	0			H(350)&zeta;	0.00000		0.00000	Recomb
HDCO	Formaldehyde	897.21580	0.0006			34(7,27)-34(7,28)	-10.62060		1551.24890	CDMS
HDCO	Formaldehyde	897.22600	0.003			34(7,27)-34(7,28)	0.00000		1551.24900	SLAIM
c-C2H4S	Ethylene sulfide	897.25910	0.0001			10(5,5)-10(5,6)	-8.61480		45.45780	CDMS
CH318OHvt=0,1&2	Methanol	897.60600	4.58			33(1,33)-32(3,30)A,vt=1	-14.23500		1087.50500	CDMS
H2SO4	Sulfuric acid	897.75580	0.0258			8(5,4)-8(4,4)	-9.29290		12.06450	JPL
NH2CH2CH2OHv27=1	Aminoethanol	898.03180	0.0129			13(4,10)-14(1,13)	-11.76060		139.80020	JPL
t-HCOOH	Formic Acid	898.16600	0.0102			59(9,50)-59(9,51)	-11.65620		1508.93170	CDMS
ND3	Ammonia	898.19100	0.21			13(2)0a-13(2)0s	0.00000		921.76400	SLAIM
NH2CH2CH2OHv27=1	Aminoethanol	898.24450	0.0087			57(9,49)-57(8,49)	-10.91330		689.39090	JPL
H2NCH2COOH-Iv=1	Glycine	898.34410	0.3107			40(12,28)-40(12,29),F=40-40	-9.81570		294.01080	JPL
HCCCHO	2-Propynal	898.41200	0.006			11(2,9)-11(2,10)	0.00000		28.97900	SLAIM
c-DCOOH	Formic Acid	898.93770	0.0174			57(10,47)-57(10,48)	-10.78190		1365.29251	JPL
D2CCO	Ketene	899.32340	0.0019			10(2,8)-10(2,9)	-8.98240		50.11060	CDMS
CH2DCl	Chloromethane	899.58480	0.0054			N(Ka,Kc)=2(1,1)-2(1,2),J=5/2-3/2	-9.78660		6.03820	CDMS
N17O	Nitric oxide	900.02950	0.0158			J=1/2-1/2,&Omega;=1/2,F1=3/2+-3/2-,F2=1/2+-3/2-	-11.57840		0.00180	CDMS
CH3O13CHO(TopModel)	Methyl Formate	900.14100	0.008			22(5,17)-21(7,14)--vt=0-0	0.00000		116.91470	TopModel
c-HDC3O	Cyclopropenone	900.32810	0.0008			21(6,15)-21(6,16)	-8.15250		129.90710	CDMS
H&delta;	Hydrogen Recombination Line	900.35300	0			H(306)&delta;	0.00000		0.00000	Recomb
NH2CH2CH2OHv27=1	Aminoethanol	900.43730	0.0009			34(5,30)-34(4,30)	-10.27430		312.14980	JPL
N17O	Nitric oxide	900.52050	0.0209			J=7/2-7/2,&Omega;=1/2,F1=11/2+-11/2-,F2=11/2+-11/2-	-11.52210		24.39100	CDMS
He&delta;	Helium Recombination Line	900.72000	0			He(306)&delta;	0.00000		0.00000	Recomb
HDCCO	Ketene	901.31030	0.0029			12(2,10)-12(2,11)	-9.13410		73.61610	CDMS
HOONO	Peroxynitrous acid	901.85040	0.0005			19(7,12)-19(7,13),F=18-18	-10.31900		112.01600	JPL
HOONO	Peroxynitrous acid	901.85270	0.0005			19(7,12)-19(7,13),F=20-20	-10.27430		112.01600	JPL
Ga-n-C3H7OH	<i>n</i>-Propanol	901.88320	0.0002			10(1,10)-10(0,10)	-8.85610		16.73950	CDMS
HOONO	Peroxynitrous acid	901.89510	0.0005			19(7,12)-19(7,13),F=19-19	-10.29720		112.01600	JPL
CH3CH2CH2CN-gauche	Butyronitrile	901.99710	0.0088			48(11,37)-48(11,38)	-9.49930		356.48460	JPL
n-C3H7CN,v=0	n-Butyronitrile, gauche/anti combined	902.00250	0.0033			48(11,37)-48(11,38),gauche	-10.26910		264.75450	CDMS
CH2DCN	Methyl cyanide	902.16920	0.0533			19(2,17)-19(2,18)	-8.69050		125.03790	JPL
C10H	Decapentaynyl	902.17330	0.0015			J=3/2-1/2,&Omega;=1/2,l=f	-8.33500		23.33940	CDMS
CH3OHvt=0-2	Methanol	902.20100	0.125			37(3,34)-37(3,35)A,vt=1	-12.55700		1404.31950	CDMS
CH3OHvt=0-2	Methanol	902.20100	0.125			37(3)--37(3)+vt=1	-12.56700		1404.32000	JPL
i-C3H7CN	iso-propyl cyanide	902.26620	0.0001			3(2,1)-3(2,2)	-8.67670		1.97600	CDMS
H&epsilon;	Hydrogen Recombination Line	902.68700	0			H(329)&epsilon;	0.00000		0.00000	Recomb
15N18O	Nitric oxide	903.13420	0.0002			J=5/2-5/2,&Omega;=1/2,F=5/2--5/2+	-10.53430		12.21560	CDMS
N17O	Nitric oxide	903.40010	0.0163			J=1/2-1/2,&Omega;=1/2,F1=3/2+-3/2-,F2=1/2+-1/2-	-11.50160		0.00160	CDMS
CH3OCN	Methyl cyanate	903.51600	0.1967			24(4,20)-24(4,21),E	-9.21770		119.75680	CDMS
H&gamma;	Hydrogen Recombination Line	903.58600	0			H(278)&gamma;	0.00000		0.00000	Recomb
CH2DCN	Methyl cyanide	903.90450	0.0026			3(1,2)-3(1,3)	-8.29010		7.20970	JPL
He&gamma;	Helium Recombination Line	903.95400	0			He(278)&gamma;	0.00000		0.00000	Recomb
C&gamma;	Carbon Recombination Line	904.03700	0			C(278)&gamma;	0.00000		0.00000	Recomb
t-HONO	Trans - HONO	904.12340	0.0017			12(3,9)-12(3,10)	-9.08650		85.66350	JPL
c-H13COOH	Formic acid	904.32440	0.0041			37(6,31)-37(6,32)	-9.35060		603.56380	JPL
CH3OCN	Methyl cyanate	904.78800	0.314			14(3,11)-14(3,12),E	-9.36840		45.73850	CDMS
H&zeta;	Hydrogen Recombination Line	904.80500	0			H(349)&zeta;	0.00000		0.00000	Recomb
CH3O13CHO(TopModel)	Methyl Formate	904.88900	2.438			50(22,28)-50(22,29)vt=1-1	0.00000		869.13350	TopModel
HeII&alpha;	Helium Recombination Line	905.04970				HeII(307)&alpha;	0.00000		0.00000	SLAIM
PO	Phosphorus Monoxide	905.21360	0.1386			J=13/2,&Omega;=1/2,F=6-6,l=f	-9.70120		34.94530	JPL
c-C3D	Cyclopropynylidyne	905.37690	0.0013			3(3,0)-3(3,1),J=5/2-5/2,F=7/2-7/2	-7.82360		13.62550	JPL
CH3OCN	Methyl cyanate	905.40210	0.1478			35(5,30)-35(5,31),E	-9.19870		241.82450	CDMS
H&beta;	Hydrogen Recombination Line	905.40700	0			H(243)&beta;	0.00000		0.00000	Recomb
CH2CHNC	Vinyl Isocyanide	905.49600	0.0011			8(2,6)-8(2,7)	-8.60490		18.49450	JPL
c-C6H5OH	Phenol	905.71010	0.0069			34(13,22)-35(10,25),v=0-1	-11.60760		109.12340	CDMS
gGG'g-CH2OHCH2CH2OH	1,3-propanediol, gGG'g	905.72230	0.0017			28(11,17)-28(11,18),v=1-0	-9.42430		109.95140	CDMS
NH2CH2CH2OHv27=2	Aminoethanol	905.72660	0.0009			11(4,7)-11(4,8)	-9.54520		191.41750	JPL
He&beta;	Helium Recombination Line	905.77600	0			He(243)&beta;	0.00000		0.00000	Recomb
C&beta;	Carbon Recombination Line	905.85800	0			C(243)&beta;	0.00000		0.00000	Recomb
CH2DCl	Chloromethane	906.14760	0.0142			N(Ka,Kc)=2(1,1)-2(1,2),J=1/2-1/2	-9.92490		6.03850	CDMS
N17O	Nitric oxide	906.15520	0.0756			J=39/2-39/2,&Omega;=1/2,F1=43/2+-43/2-,F2=41/2+-41/2-	-13.27260		785.59680	CDMS
CH2DCl	Chloromethane	906.19050	0.0043			N(Ka,Kc)=2(1,1)-2(1,2),J=7/2-7/2	-9.08950		6.03830	CDMS
CH2DCl	Chloromethane	906.20750	0.0016			N(Ka,Kc)=2(1,1)-2(1,2),J=3/2-3/2	-9.72120		6.03820	CDMS
CH2DCl	Chloromethane	906.25030	0.0103			N(Ka,Kc)=2(1,1)-2(1,2),J=5/2-5/2	-9.38760		6.03800	CDMS
gGG'g-CH2OHCH2CH2OH	1,3-propanediol, gGG'g	906.35780	0.0021			31(12,19)-31(12,20),v=1-0	-9.44690		133.82780	CDMS
NH2CH2CH2OHv=0	Aminoethanol	906.37610	0.0011			39(6,34)-39(5,34)	-10.15920		276.27770	JPL
N17O	Nitric oxide	906.72900	0.0758			J=39/2-39/2,&Omega;=1/2,F1=41/2+-43/2-,F2=41/2+-41/2-	-13.34660		785.59680	CDMS
HOONO	Peroxynitrous acid	906.86580	0.0008			30(10,20)-30(10,21),F=29-29	-10.52750		264.88760	JPL
HOONO	Peroxynitrous acid	906.86660	0.0008			30(10,20)-30(10,21),F=31-31	-10.49890		264.88760	JPL
HOONO	Peroxynitrous acid	906.89120	0.0008			30(10,20)-30(10,21),F=30-30	-10.51340		264.88760	JPL
C10H	Decapentaynyl	906.93450	0.0015			J=3/2-1/2,&Omega;=1/2,l=e	-8.33040		23.33950	CDMS
t-H13COOH	Formic Acid	907.26250	0.0022			49(8,41)-49(8,42)	-10.72940		1056.79630	CDMS
t-H13COOH	Formic Acid	907.27270	0.0024			49(8,41)-49(8,42)	-10.74500		1056.79620	JPL
H2SO4	Sulfuric acid	907.34780	0.0179			2(2,0)-2(1,2)	-10.27910		0.99100	JPL
ND3	Ammonia	907.60000	0.351			16(8)0a-16(8)0s	0.00000		1261.35100	SLAIM
H&alpha;	Hydrogen Recombination Line	907.67700	0			H(193)&alpha;	0.00000		0.00000	Recomb
He&alpha;	Helium Recombination Line	908.04700	0			He(193)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	908.13000	0			C(193)&alpha;	0.00000		0.00000	Recomb
c-C6H5CCH	Phenylacetylene	908.27430	0.0017			66(14,52)-66(14,53)	-10.78120		232.75280	CDMS
N18O	Nitric oxide	908.29100	0.0002			J=5/2-5/2,&Omega;=1/2,F=3/2--5/2+	-11.70750		12.68150	CDMS
CH3OOH	Methyl peroxide	908.71400	0.1342			N/A	-9.78880		321.08921	JPL
CH3OOH	Methyl peroxide	908.72710	0.1343			N/A	-9.78870		321.08921	JPL
C6H	1,3,5-Hexatriynyl	908.75270	2.3613			J=93/2,&Omega;=3/2,F=46-46,l=f-e	-9.45540		101.94610	JPL
C6H	1,3,5-Hexatriynyl	908.76690	2.3614			J=93/2,&Omega;=3/2,F=47-47,l=f-e	-9.44620		101.94610	JPL
CH2DCl	Chloromethane	908.86240	0.0456			N(Ka,Kc)=30(3,27)-30(3,28),J=63/2-63/2	-10.20710		414.31620	CDMS
CH2DCl	Chloromethane	908.86240	0.0456			N(Ka,Kc)=30(3,27)-30(3,28),J=57/2-57/2	-10.25000		414.31620	CDMS
N17O	Nitric oxide	908.86260	0.0915			J=39/2-39/2,&Omega;=1/2,F1=43/2+-43/2-,F2=43/2+-43/2-	-12.98580		785.59660	CDMS
CH2DCl	Chloromethane	908.86260	0.0456			N(Ka,Kc)=30(3,27)-30(3,28),J=61/2-61/2	-10.22190		414.31560	CDMS
CH2DCl	Chloromethane	908.86260	0.0456			N(Ka,Kc)=30(3,27)-30(3,28),J=59/2-59/2	-10.23620		414.31560	CDMS
H2NCH2COOH-Iv=0	Glycine	908.95250	0.0735			7(3,4)-6(4,3),F=7-6	-10.67300		8.48410	JPL
H2NCH2COOH-Iv=1	Glycine	909.11470	1.7749			9(4,5)-8(5,4),F=9-8	-10.72280		85.99930	JPL
H&delta;	Hydrogen Recombination Line	909.18100	0			H(305)&delta;	0.00000		0.00000	Recomb
NH2CH2CH2OHv27=2	Aminoethanol	909.27890	0.0011			15(5,10)-15(5,11)	-9.52980		212.60350	JPL
He&delta;	Helium Recombination Line	909.55100	0			He(305)&delta;	0.00000		0.00000	Recomb
GGag'g'-CH2(OH)CH(OH)CH2OH	Glycerol	909.84710	0.0604			37(8,29)-37(8,30)	-9.75340		110.17710	CDMS
CH3CHOv=0,1&2	Acetaldehyde	909.89000	0.043			17(-3,15)-16(-4,13)E,vt=0	0.00000		112.58600	SLAIM
c-H2C318O	Cyclopropenone	909.98870	0.0024			30(7,23)-30(7,24)	-8.21250		249.43720	CDMS
CH3O13CHO(TopModel)	Methyl Formate	910.37500	61.856			60(26,35)-59(27,33)vt=1-1	0.00000		1180.95600	TopModel
H&epsilon;	Hydrogen Recombination Line	910.90700	0			H(328)&epsilon;	0.00000		0.00000	Recomb
ND3	Ammonia	910.94600	0.224			14(5)0a-14(5)0s	0.00000		1022.80300	SLAIM
CH3CH213CN	Ethyl Cyanide	910.99100	0.0001			7(2,5)-7(2,6),F=6-6	-9.21580		11.40610	CDMS
CH3CH213CN	Ethyl Cyanide	910.99610	0.0001			7(2,5)-7(2,6),F=8-8	-9.09720		11.40610	CDMS
CH3CH213CN	Ethyl Cyanide	911.03090	0.0001			7(2,5)-7(2,6),F=7-7	-9.16040		11.40600	CDMS
CH3O13CHO(TopModel)	Methyl Formate	911.07000	0.002			60(16,44)-60(16,45)+-vt=0-0	0.00000		867.01940	TopModel
H2NCH2COOH-Iv=2	Glycine	911.16700	0.3255			40(12,28)-40(12,29),F=39-39	-10.14190		222.08270	JPL
H2NCH2COOH-Iv=0	Glycine	911.16950	0.3255			40(12,28)-40(12,29),F=40-40	-9.65370		222.08270	JPL
H2NCH2COOH-Iv=2	Glycine	911.17450	0.3255			40(12,28)-40(12,29),F=40-40	-10.13130		222.08270	JPL
17OD	Hydroxyl radical	911.30390	0.0543			N=10-10,J+1/2=19/2-19/2,p=-1-1,F1=9-10,F=8-9	-13.32300		1143.16890	JPL
HCCNCv7=1	Ethyne Isocyanide	911.49880	0.0369			J=10,l=1f-1e	-9.08040		221.27000	JPL
c-C6H5OH	Phenol	912.33790	0.0027			11(3,8)-12(2,11),v=1-0	-11.55760		11.34690	CDMS
c-HDC3O	Cyclopropenone	912.42200	0.0039			36(9,27)-36(9,28)	-8.51470		358.84720	CDMS
H&zeta;	Hydrogen Recombination Line	912.56100	0			H(348)&zeta;	0.00000		0.00000	Recomb
CH2DCl	Chloromethane	912.87300	0.0054			N(Ka,Kc)=2(1,1)-2(1,2),J=3/2-5/2	-9.77380		6.03800	CDMS
CH3O13CHO(TopModel)	Methyl Formate	913.01200	2.449			51(22,29)-51(22,30)vt=1-1	0.00000		889.75190	TopModel
H&gamma;	Hydrogen Recombination Line	913.35500	0			H(277)&gamma;	0.00000		0.00000	Recomb
He&gamma;	Helium Recombination Line	913.72700	0			He(277)&gamma;	0.00000		0.00000	Recomb
C&gamma;	Carbon Recombination Line	913.81000	0			C(277)&gamma;	0.00000		0.00000	Recomb
HeII&alpha;	Helium Recombination Line	913.93720				HeII(306)&alpha;	0.00000		0.00000	SLAIM
H15NCO	Isocyanic Acid	914.17200	0.002			3(1,2)-3(1,3)	0.00000		0.00000	SLAIM
c-H13COOH	Formic acid	914.75120	0.0446			56(8,48)-56(8,49)	-10.78520		1326.46901	JPL
17OO	Molecular oxygen	914.78210	0.0284			N=5-5,J=6-4,F=9/2-7/2	-16.85740		41.64360	JPL
NH2CH2CH2OHv25=1	Aminoethanol	914.99800	1.3926			37(21,16)-38(20,19)	-11.60460		681.46540	JPL
NH2CH2CH2OHv25=1	Aminoethanol	914.99800	1.3926			37(21,17)-38(20,18)	-11.60460		681.46540	JPL
CHOCHOHCH2OH	Glyceraldehyde	915.16840	0.1028			41(8,34)-41(7,34)	-8.59670		156.72010	CDMS
